REF_DATE,Sex,Age group,VALUE
2017,Males,96 years,1673
2018,Males,96 years,1712
2019,Males,96 years,1755
2020,Males,96 years,2011
2021,Males,96 years,2145
1991,Males,97 years,
1992,Males,97 years,
1993,Males,97 years,
1994,Males,97 years,
1995,Males,97 years,
1996,Males,97 years,
1997,Males,97 years,
1998,Males,97 years,
1999,Males,97 years,
2000,Males,97 years,
2001,Males,97 years,315
2002,Males,97 years,315
2003,Males,97 years,348
2004,Males,97 years,324
2005,Males,97 years,372
2006,Males,97 years,370
2007,Males,97 years,429
2008,Males,97 years,449
2009,Males,97 years,539
2010,Males,97 years,611
2011,Males,97 years,608
2012,Males,97 years,689
2013,Males,97 years,650
2014,Males,97 years,733
2015,Males,97 years,718
2016,Males,97 years,772
2017,Males,97 years,1018
2018,Males,97 years,1196
2019,Males,97 years,1272
2020,Males,97 years,1282
2021,Males,97 years,1434
1991,Males,98 years,
1992,Males,98 years,
1993,Males,98 years,
1994,Males,98 years,
1995,Males,98 years,
1996,Males,98 years,
1997,Males,98 years,
1998,Males,98 years,
1999,Males,98 years,
2000,Males,98 years,
2001,Males,98 years,198
2002,Males,98 years,211
2003,Males,98 years,215
2004,Males,98 years,228
2005,Males,98 years,219
2006,Males,98 years,245
2007,Males,98 years,257
2008,Males,98 years,292
2009,Males,98 years,307
2010,Males,98 years,383
2011,Males,98 years,408
2012,Males,98 years,435
2013,Males,98 years,473
2014,Males,98 years,436
2015,Males,98 years,501
2016,Males,98 years,521
2017,Males,98 years,567
2018,Males,98 years,699
2019,Males,98 years,833
2020,Males,98 years,920
2021,Males,98 years,902
1991,Males,99 years,
1992,Males,99 years,
1993,Males,99 years,
1994,Males,99 years,
1995,Males,99 years,
1996,Males,99 years,
1997,Males,99 years,
1998,Males,99 years,
1999,Males,99 years,
2000,Males,99 years,
2001,Males,99 years,114
2002,Males,99 years,133
2003,Males,99 years,133
2004,Males,99 years,149
2005,Males,99 years,151
2006,Males,99 years,154
2007,Males,99 years,159
2008,Males,99 years,162
2009,Males,99 years,184
2010,Males,99 years,203
2011,Males,99 years,233
2012,Males,99 years,291
2013,Males,99 years,276
2014,Males,99 years,315
2015,Males,99 years,272
2016,Males,99 years,338
2017,Males,99 years,347
2018,Males,99 years,396
2019,Males,99 years,469
2020,Males,99 years,571
2021,Males,99 years,625
1991,Males,100 years and over,
1992,Males,100 years and over,
1993,Males,100 years and over,
1994,Males,100 years and over,
1995,Males,100 years and over,
1996,Males,100 years and over,
1997,Males,100 years and over,
1998,Males,100 years and over,
1999,Males,100 years and over,
2000,Males,100 years and over,
2001,Males,100 years and over,155
2002,Males,100 years and over,164
2003,Males,100 years and over,186
2004,Males,100 years and over,212
2005,Males,100 years and over,234
2006,Males,100 years and over,252
2007,Males,100 years and over,251
2008,Males,100 years and over,273
2009,Males,100 years and over,257
2010,Males,100 years and over,284
2011,Males,100 years and over,319
2012,Males,100 years and over,391
2013,Males,100 years and over,447
2014,Males,100 years and over,467
2015,Males,100 years and over,502
2016,Males,100 years and over,496
2017,Males,100 years and over,540
2018,Males,100 years and over,533
2019,Males,100 years and over,589
2020,Males,100 years and over,681
2021,Males,100 years and over,777
1971,Females,0 years,63163
1972,Females,0 years,60358
1973,Females,0 years,59558
1974,Females,0 years,58628
1975,Females,0 years,60844
1976,Females,0 years,59103
1977,Females,0 years,59095
1978,Females,0 years,58793
1979,Females,0 years,58512
1980,Females,0 years,59115
1981,Females,0 years,59598
1982,Females,0 years,59936
1983,Females,0 years,61164
1984,Females,0 years,62172
1985,Females,0 years,63525
1986,Females,0 years,64604
1987,Females,0 years,65730
1988,Females,0 years,66056
1989,Females,0 years,68549
1990,Females,0 years,73329
1991,Females,0 years,74361
1992,Females,0 years,74105
1993,Females,0 years,72373
1994,Females,0 years,71538
1995,Females,0 years,71602
1996,Females,0 years,71678
1997,Females,0 years,66496
1998,Females,0 years,65340
1999,Females,0 years,64525
2000,Females,0 years,65117
2001,Females,0 years,62473
2002,Females,0 years,63006
2003,Females,0 years,63182
2004,Females,0 years,64773
2005,Females,0 years,65067
2006,Females,0 years,64845
2007,Females,0 years,66888
2008,Females,0 years,68560
2009,Females,0 years,68202
2010,Females,0 years,68275
2011,Females,0 years,67916
2012,Females,0 years,68660
2013,Females,0 years,68430
2014,Females,0 years,68272
2015,Females,0 years,68078
2016,Females,0 years,68212
2017,Females,0 years,68200
2018,Females,0 years,68423
2019,Females,0 years,68415
2020,Females,0 years,68416
2021,Females,0 years,66283
1971,Females,1 year,63242
1972,Females,1 year,63675
1973,Females,1 year,60508
1974,Females,1 year,59619
1975,Females,1 year,58411
1976,Females,1 year,59725
1977,Females,1 year,59217
1978,Females,1 year,58994
1979,Females,1 year,58355
1980,Females,1 year,58212
1981,Females,1 year,59084
1982,Females,1 year,59886
1983,Females,1 year,60226
1984,Females,1 year,61454
1985,Females,1 year,62304
1986,Females,1 year,63511
1987,Females,1 year,65428
1988,Females,1 year,66445
1989,Females,1 year,66822
1990,Females,1 year,69437
1991,Females,1 year,74453
1992,Females,1 year,74956
1993,Females,1 year,74681
1994,Females,1 year,72941
1995,Females,1 year,72372
1996,Females,1 year,72731
1997,Females,1 year,72645
1998,Females,1 year,67987
1999,Females,1 year,67230
2000,Females,1 year,67032
2001,Females,1 year,68261
2002,Females,1 year,63992
2003,Females,1 year,64434
2004,Females,1 year,64850
2005,Females,1 year,66716
2006,Females,1 year,66933
2007,Females,1 year,65848
2008,Females,1 year,67997
2009,Females,1 year,69640
2010,Females,1 year,69251
2011,Females,1 year,69683
2012,Females,1 year,68759
2013,Females,1 year,69623
2014,Females,1 year,69131
2015,Females,1 year,68901
2016,Females,1 year,69096
2017,Females,1 year,68930
2018,Females,1 year,69132
2019,Females,1 year,69389
2020,Females,1 year,69412
2021,Females,1 year,68590
1971,Females,2 years,61165
1972,Females,2 years,63744
1973,Females,2 years,64204
1974,Females,2 years,60898
1975,Females,2 years,59750
1976,Females,2 years,58637
1977,Females,2 years,60005
1978,Females,2 years,59388
1979,Females,2 years,58726
1980,Females,2 years,58063
1981,Females,2 years,57857
1982,Females,2 years,59422
1983,Females,2 years,60294
1984,Females,2 years,60569
1985,Females,2 years,61922
1986,Females,2 years,62689
1987,Females,2 years,64650
1988,Females,2 years,66701
1989,Females,2 years,67481
1990,Females,2 years,67620
1991,Females,2 years,70508
1992,Females,2 years,74809
1993,Females,2 years,74875
1994,Females,2 years,75051
1995,Females,2 years,73360
1996,Females,2 years,73200
1997,Females,2 years,73566
1998,Females,2 years,73634
1999,Females,2 years,69372
2000,Females,2 years,69170
2001,Females,2 years,69650
2002,Females,2 years,69135
2003,Females,2 years,65047
2004,Females,2 years,65639
2005,Females,2 years,66227
2006,Females,2 years,68007
2007,Females,2 years,67493
2008,Females,2 years,66838
2009,Females,2 years,69086
2010,Females,2 years,70815
2011,Females,2 years,70329
2012,Females,2 years,70670
2013,Females,2 years,69540
2014,Females,2 years,70427
2015,Females,2 years,69829
2016,Females,2 years,70178
2017,Females,2 years,69808
2018,Females,2 years,69959
2019,Females,2 years,70226
2020,Females,2 years,70504
2021,Females,2 years,69734
1971,Females,3 years,61640
1972,Females,3 years,61554
1973,Females,3 years,64199
1974,Females,3 years,64982
1975,Females,3 years,61317
1976,Females,3 years,59851
1977,Females,3 years,58809
1978,Females,3 years,60315
1979,Females,3 years,59366
1980,Females,3 years,58618
1981,Females,3 years,57709
1982,Females,3 years,58178
1983,Females,3 years,59781
1984,Females,3 years,60748
1985,Females,3 years,60952
1986,Females,3 years,62459
1987,Females,3 years,63952
1988,Females,3 years,66342
1989,Females,3 years,68550
1990,Females,3 years,68829
1991,Females,3 years,68532
1992,Females,3 years,71442
1993,Females,3 years,75362
1994,Females,3 years,75189
1995,Females,3 years,75438
1996,Females,3 years,74030
1997,Females,3 years,73735
1998,Females,3 years,74472
1999,Females,3 years,74541
2000,Females,3 years,71025
2001,Females,3 years,71316
2002,Females,3 years,70250
2003,Females,3 years,69576
2004,Females,3 years,65846
2005,Females,3 years,66672
2006,Females,3 years,67286
2007,Females,3 years,68377
2008,Females,3 years,68035
2009,Females,3 years,67701
2010,Females,3 years,70186
2011,Females,3 years,71665
2012,Females,3 years,71147
2013,Females,3 years,71521
2014,Females,3 years,70128
2015,Females,3 years,71150
2016,Females,3 years,71146
2017,Females,3 years,70938
2018,Females,3 years,70887
2019,Females,3 years,71003
2020,Females,3 years,71373
2021,Females,3 years,70852
1971,Females,4 years,65487
1972,Females,4 years,62018
1973,Females,4 years,61898
1974,Females,4 years,64916
1975,Females,4 years,65798
1976,Females,4 years,61795
1977,Females,4 years,60176
1978,Females,4 years,59007
1979,Females,4 years,60436
1980,Females,4 years,59498
1981,Females,4 years,58445
1982,Females,4 years,57977
1983,Females,4 years,58574
1984,Females,4 years,60267
1985,Females,4 years,61203
1986,Females,4 years,61484
1987,Females,4 years,63898
1988,Females,4 years,65730
1989,Females,4 years,68986
1990,Females,4 years,71045
1991,Females,4 years,69027
1992,Females,4 years,69590
1993,Females,4 years,72087
1994,Females,4 years,75733
1995,Females,4 years,75379
1996,Females,4 years,75879
1997,Females,4 years,74611
1998,Females,4 years,74511
1999,Females,4 years,75300
2000,Females,4 years,75779
2001,Females,4 years,73476
2002,Females,4 years,72018
2003,Females,4 years,70479
2004,Females,4 years,70039
2005,Females,4 years,66645
2006,Females,4 years,67557
2007,Females,4 years,67530
2008,Females,4 years,68866
2009,Females,4 years,68515
2010,Females,4 years,68756
2011,Females,4 years,71233
2012,Females,4 years,72555
2013,Females,4 years,72008
2014,Females,4 years,72233
2015,Females,4 years,70789
2016,Females,4 years,72391
2017,Females,4 years,71960
2018,Females,4 years,72013
2019,Females,4 years,71959
2020,Females,4 years,72117
2021,Females,4 years,71851
1971,Females,5 years,70723
1972,Females,5 years,65904
1973,Females,5 years,62309
1974,Females,5 years,62459
1975,Females,5 years,65659
1976,Females,5 years,66218
1977,Females,5 years,61996
1978,Females,5 years,60459
1979,Females,5 years,58955
1980,Females,5 years,60623
1981,Females,5 years,59460
1982,Females,5 years,58770
1983,Females,5 years,58362
1984,Females,5 years,59090
1985,Females,5 years,60750
1986,Females,5 years,61706
1987,Females,5 years,62634
1988,Females,5 years,64755
1989,Females,5 years,66639
1990,Females,5 years,69054
1991,Females,5 years,70241
1992,Females,5 years,69898
1993,Females,5 years,70019
1994,Females,5 years,72467
1995,Females,5 years,76057
1996,Females,5 years,75772
1997,Females,5 years,76467
1998,Females,5 years,75439
1999,Females,5 years,75272
2000,Females,5 years,76527
2001,Females,5 years,76745
2002,Females,5 years,74245
2003,Females,5 years,72283
2004,Females,5 years,70653
2005,Females,5 years,70482
2006,Females,5 years,67818
2007,Females,5 years,67964
2008,Females,5 years,67965
2009,Females,5 years,69307
2010,Females,5 years,69236
2011,Females,5 years,70119
2012,Females,5 years,72068
2013,Females,5 years,73516
2014,Females,5 years,72798
2015,Females,5 years,73029
2016,Females,5 years,72335
2017,Females,5 years,73232
2018,Females,5 years,73055
2019,Females,5 years,73115
2020,Females,5 years,73091
2021,Females,5 years,72648
1971,Females,6 years,75919
1972,Females,6 years,70897
1973,Females,6 years,66370
1974,Females,6 years,62858
1975,Females,6 years,63084
1976,Females,6 years,66038
1977,Females,6 years,66571
1978,Females,6 years,62217
1979,Females,6 years,60523
1980,Females,6 years,59029
1981,Females,6 years,60610
1982,Females,6 years,59751
1983,Females,6 years,59184
1984,Females,6 years,58791
1985,Females,6 years,59557
1986,Females,6 years,61185
1987,Females,6 years,62974
1988,Females,6 years,63967
1989,Females,6 years,66244
1990,Females,6 years,67798
1991,Females,6 years,69898
1992,Females,6 years,71398
1993,Females,6 years,70734
1994,Females,6 years,70533
1995,Females,6 years,72838
1996,Females,6 years,76271
1997,Females,6 years,76456
1998,Females,6 years,77426
1999,Females,6 years,76255
2000,Females,6 years,76278
2001,Females,6 years,77844
2002,Females,6 years,77546
2003,Females,6 years,74571
2004,Females,6 years,72461
2005,Females,6 years,70778
2006,Females,6 years,70339
2007,Females,6 years,68225
2008,Females,6 years,68491
2009,Females,6 years,68366
2010,Females,6 years,69967
2011,Females,6 years,69821
2012,Females,6 years,70915
2013,Females,6 years,72915
2014,Females,6 years,74443
2015,Females,6 years,73618
2016,Females,6 years,74183
2017,Females,6 years,73087
2018,Females,6 years,74272
2019,Females,6 years,74100
2020,Females,6 years,74199
2021,Females,6 years,73612
1971,Females,7 years,78849
1972,Females,7 years,76084
1973,Females,7 years,71140
1974,Females,7 years,66982
1975,Females,7 years,63480
1976,Females,7 years,63717
1977,Females,7 years,66328
1978,Females,7 years,66885
1979,Females,7 years,62197
1980,Females,7 years,60696
1981,Females,7 years,59177
1982,Females,7 years,60997
1983,Females,7 years,60121
1984,Females,7 years,59685
1985,Females,7 years,59257
1986,Females,7 years,60101
1987,Females,7 years,62323
1988,Females,7 years,64287
1989,Females,7 years,65269
1990,Females,7 years,67266
1991,Females,7 years,68336
1992,Females,7 years,70816
1993,Females,7 years,71928
1994,Females,7 years,71168
1995,Females,7 years,71005
1996,Females,7 years,73607
1997,Females,7 years,76995
1998,Females,7 years,77356
1999,Females,7 years,78175
2000,Females,7 years,77177
2001,Females,7 years,77516
2002,Females,7 years,78793
2003,Females,7 years,77870
2004,Females,7 years,74757
2005,Females,7 years,72574
2006,Females,7 years,70966
2007,Females,7 years,70792
2008,Females,7 years,68756
2009,Females,7 years,68961
2010,Females,7 years,68861
2011,Females,7 years,70354
2012,Females,7 years,70688
2013,Females,7 years,71692
2014,Females,7 years,73727
2015,Females,7 years,75318
2016,Females,7 years,74915
2017,Females,7 years,74921
2018,Females,7 years,74013
2019,Females,7 years,75285
2020,Females,7 years,74994
2021,Females,7 years,74723
1971,Females,8 years,79599
1972,Females,8 years,78972
1973,Females,8 years,76265
1974,Females,8 years,71480
1975,Females,8 years,67706
1976,Females,8 years,64223
1977,Females,8 years,64045
1978,Females,8 years,66591
1979,Females,8 years,66931
1980,Females,8 years,62281
1981,Females,8 years,60820
1982,Females,8 years,59530
1983,Females,8 years,61446
1984,Females,8 years,60523
1985,Females,8 years,60135
1986,Females,8 years,59780
1987,Females,8 years,61118
1988,Females,8 years,63560
1989,Females,8 years,65782
1990,Females,8 years,66228
1991,Females,8 years,67314
1992,Females,8 years,69098
1993,Females,8 years,71239
1994,Females,8 years,72466
1995,Females,8 years,71671
1996,Females,8 years,71852
1997,Females,8 years,74317
1998,Females,8 years,77926
1999,Females,8 years,77958
2000,Females,8 years,79058
2001,Females,8 years,78364
2002,Females,8 years,78601
2003,Females,8 years,79236
2004,Females,8 years,78143
2005,Females,8 years,74837
2006,Females,8 years,72662
2007,Females,8 years,71529
2008,Females,8 years,71440
2009,Females,8 years,69263
2010,Females,8 years,69529
2011,Females,8 years,69495
2012,Females,8 years,71265
2013,Females,8 years,71547
2014,Females,8 years,72345
2015,Females,8 years,74473
2016,Females,8 years,76348
2017,Females,8 years,75644
2018,Females,8 years,75858
2019,Females,8 years,74899
2020,Females,8 years,76116
2021,Females,8 years,75388
1971,Females,9 years,79484
1972,Females,9 years,79858
1973,Females,9 years,79094
1974,Females,9 years,76569
1975,Females,9 years,71946
1976,Females,9 years,68376
1977,Females,9 years,64542
1978,Females,9 years,64374
1979,Females,9 years,66610
1980,Females,9 years,67133
1981,Females,9 years,62488
1982,Females,9 years,61207
1983,Females,9 years,59918
1984,Females,9 years,61933
1985,Females,9 years,60938
1986,Females,9 years,60636
1987,Females,9 years,60782
1988,Females,9 years,62342
1989,Females,9 years,64921
1990,Females,9 years,66770
1991,Females,9 years,66687
1992,Females,9 years,68356
1993,Females,9 years,69833
1994,Females,9 years,71981
1995,Females,9 years,72899
1996,Females,9 years,72563
1997,Females,9 years,72531
1998,Females,9 years,75315
1999,Females,9 years,78691
2000,Females,9 years,78771
2001,Females,9 years,79965
2002,Females,9 years,79539
2003,Females,9 years,79166
2004,Females,9 years,79653
2005,Females,9 years,78426
2006,Females,9 years,75088
2007,Females,9 years,73373
2008,Females,9 years,72186
2009,Females,9 years,72043
2010,Females,9 years,69895
2011,Females,9 years,70162
2012,Females,9 years,70359
2013,Females,9 years,72196
2014,Females,9 years,72347
2015,Females,9 years,73054
2016,Females,9 years,75513
2017,Females,9 years,77068
2018,Females,9 years,76439
2019,Females,9 years,76729
2020,Females,9 years,75696
2021,Females,9 years,76425
1971,Females,10 years,80131
1972,Females,10 years,79678
1973,Females,10 years,80129
1974,Females,10 years,79336
1975,Females,10 years,76968
1976,Females,10 years,72344
1977,Females,10 years,68380
1978,Females,10 years,64799
1979,Females,10 years,64447
1980,Females,10 years,66764
1981,Females,10 years,66920
1982,Females,10 years,62859
1983,Females,10 years,61563
1984,Females,10 years,60336
1985,Females,10 years,62412
1986,Females,10 years,61369
1987,Females,10 years,61353
1988,Females,10 years,61472
1989,Females,10 years,62756
1990,Females,10 years,64736
1991,Females,10 years,66895
1992,Females,10 years,67361
1993,Females,10 years,68897
1994,Females,10 years,70561
1995,Females,10 years,72502
1996,Females,10 years,73422
1997,Females,10 years,73340
1998,Females,10 years,73440
1999,Females,10 years,76060
2000,Females,10 years,79722
2001,Females,10 years,79891
2002,Females,10 years,81277
2003,Females,10 years,80210
2004,Females,10 years,79719
2005,Females,10 years,80062
2006,Females,10 years,78400
2007,Females,10 years,75820
2008,Females,10 years,74181
2009,Females,10 years,72706
2010,Females,10 years,72766
2011,Females,10 years,70820
2012,Females,10 years,71093
2013,Females,10 years,71189
2014,Females,10 years,73094
2015,Females,10 years,73189
2016,Females,10 years,74227
2017,Females,10 years,76164
2018,Females,10 years,77820
2019,Females,10 years,77246
2020,Females,10 years,77451
2021,Females,10 years,75982
1971,Females,11 years,78258
1972,Females,11 years,80716
1973,Females,11 years,79917
1974,Females,11 years,80523
1975,Females,11 years,79678
1976,Females,11 years,77208
1977,Females,11 years,72691
1978,Females,11 years,68356
1979,Females,11 years,64858
1980,Females,11 years,64730
1981,Females,11 years,66711
1982,Females,11 years,67572
1983,Females,11 years,63215
1984,Females,11 years,62000
1985,Females,11 years,60739
1986,Females,11 years,62766
1987,Females,11 years,62291
1988,Females,11 years,62209
1989,Females,11 years,62443
1990,Females,11 years,63512
1991,Females,11 years,65669
1992,Females,11 years,67757
1993,Females,11 years,67953
1994,Females,11 years,69815
1995,Females,11 years,71143
1996,Females,11 years,73144
1997,Females,11 years,74279
1998,Females,11 years,74410
1999,Females,11 years,74047
2000,Females,11 years,76922
2001,Females,11 years,80491
2002,Females,11 years,81394
2003,Females,11 years,82101
2004,Females,11 years,81014
2005,Females,11 years,80334
2006,Females,11 years,80401
2007,Females,11 years,79435
2008,Females,11 years,76538
2009,Females,11 years,74971
2010,Females,11 years,73413
2011,Females,11 years,73141
2012,Females,11 years,71774
2013,Females,11 years,72027
2014,Females,11 years,71947
2015,Females,11 years,74043
2016,Females,11 years,74400
2017,Females,11 years,74863
2018,Females,11 years,76921
2019,Females,11 years,78605
2020,Females,11 years,77907
2021,Females,11 years,77765
1971,Females,12 years,77256
1972,Females,12 years,78628
1973,Females,12 years,81347
1974,Females,12 years,80217
1975,Females,12 years,80946
1976,Females,12 years,79858
1977,Females,12 years,77874
1978,Females,12 years,72981
1979,Females,12 years,68121
1980,Females,12 years,65063
1981,Females,12 years,65119
1982,Females,12 years,67211
1983,Females,12 years,68272
1984,Females,12 years,63630
1985,Females,12 years,62403
1986,Females,12 years,61469
1987,Females,12 years,63579
1988,Females,12 years,63395
1989,Females,12 years,63089
1990,Females,12 years,63153
1991,Females,12 years,64659
1992,Females,12 years,66706
1993,Females,12 years,68583
1994,Females,12 years,68706
1995,Females,12 years,70572
1996,Females,12 years,72069
1997,Females,12 years,74163
1998,Females,12 years,75388
1999,Females,12 years,75229
2000,Females,12 years,74882
2001,Females,12 years,78162
2002,Females,12 years,82093
2003,Females,12 years,82416
2004,Females,12 years,82971
2005,Females,12 years,81816
2006,Females,12 years,80990
2007,Females,12 years,81416
2008,Females,12 years,80391
2009,Females,12 years,77210
2010,Females,12 years,75743
2011,Females,12 years,74155
2012,Females,12 years,74141
2013,Females,12 years,72655
2014,Females,12 years,72912
2015,Females,12 years,72824
2016,Females,12 years,75123
2017,Females,12 years,75033
2018,Females,12 years,75522
2019,Females,12 years,77602
2020,Females,12 years,79278
2021,Females,12 years,78165
1971,Females,13 years,76310
1972,Females,13 years,77438
1973,Females,13 years,79049
1974,Females,13 years,82053
1975,Females,13 years,80593
1976,Females,13 years,81313
1977,Females,13 years,80505
1978,Females,13 years,78522
1979,Females,13 years,73116
1980,Females,13 years,68090
1981,Females,13 years,65513
1982,Females,13 years,65453
1983,Females,13 years,67655
1984,Females,13 years,68989
1985,Females,13 years,64072
1986,Females,13 years,62954
1987,Females,13 years,62258
1988,Females,13 years,64626
1989,Females,13 years,64568
1990,Females,13 years,63784
1991,Females,13 years,64220
1992,Females,13 years,65485
1993,Females,13 years,67412
1994,Females,13 years,69385
1995,Females,13 years,69350
1996,Females,13 years,71482
1997,Females,13 years,73092
1998,Females,13 years,75421
1999,Females,13 years,76295
2000,Females,13 years,76181
2001,Females,13 years,76169
2002,Females,13 years,79679
2003,Females,13 years,83208
2004,Females,13 years,83445
2005,Females,13 years,83869
2006,Females,13 years,82531
2007,Females,13 years,81819
2008,Females,13 years,82444
2009,Females,13 years,81335
2010,Females,13 years,78002
2011,Females,13 years,76568
2012,Females,13 years,74803
2013,Females,13 years,75065
2014,Females,13 years,73542
2015,Females,13 years,73928
2016,Females,13 years,74161
2017,Females,13 years,75823
2018,Females,13 years,75782
2019,Females,13 years,76254
2020,Females,13 years,78269
2021,Females,13 years,79458
1971,Females,14 years,75565
1972,Females,14 years,76461
1973,Females,14 years,77657
1974,Females,14 years,79536
1975,Females,14 years,82864
1976,Females,14 years,81025
1977,Females,14 years,81856
1978,Females,14 years,81131
1979,Females,14 years,79010
1980,Females,14 years,73386
1981,Females,14 years,67964
1982,Females,14 years,65862
1983,Females,14 years,65848
1984,Females,14 years,68176
1985,Females,14 years,69725
1986,Females,14 years,64838
1987,Females,14 years,63769
1988,Females,14 years,63301
1989,Females,14 years,65783
1990,Females,14 years,65557
1991,Females,14 years,64776
1992,Females,14 years,64994
1993,Females,14 years,66210
1994,Females,14 years,68352
1995,Females,14 years,70231
1996,Females,14 years,70238
1997,Females,14 years,72482
1998,Females,14 years,74294
1999,Females,14 years,76492
2000,Females,14 years,77361
2001,Females,14 years,77301
2002,Females,14 years,77467
2003,Females,14 years,80813
2004,Females,14 years,84525
2005,Females,14 years,84635
2006,Females,14 years,84669
2007,Females,14 years,83350
2008,Females,14 years,82815
2009,Females,14 years,83558
2010,Females,14 years,82462
2011,Females,14 years,78833
2012,Females,14 years,77029
2013,Females,14 years,75528
2014,Females,14 years,76063
2015,Females,14 years,74703
2016,Females,14 years,75288
2017,Females,14 years,74993
2018,Females,14 years,76699
2019,Females,14 years,76627
2020,Females,14 years,77021
2021,Females,14 years,78498
1971,Females,15 years,74498
1972,Females,15 years,75880
1973,Females,15 years,76708
1974,Females,15 years,77990
1975,Females,15 years,80169
1976,Females,15 years,83464
1977,Females,15 years,81463
1978,Females,15 years,82391
1979,Females,15 years,81695
1980,Females,15 years,79689
1981,Females,15 years,73576
1982,Females,15 years,68439
1983,Females,15 years,66257
1984,Females,15 years,66311
1985,Females,15 years,68715
1986,Females,15 years,70271
1987,Females,15 years,65617
1988,Females,15 years,64902
1989,Females,15 years,64567
1990,Females,15 years,66795
1991,Females,15 years,66649
1992,Females,15 years,65583
1993,Females,15 years,65696
1994,Females,15 years,67091
1995,Females,15 years,69285
1996,Females,15 years,71019
1997,Females,15 years,71343
1998,Females,15 years,73640
1999,Females,15 years,75373
2000,Females,15 years,77752
2001,Females,15 years,78585
2002,Females,15 years,78731
2003,Females,15 years,78532
2004,Females,15 years,81999
2005,Females,15 years,85856
2006,Females,15 years,85785
2007,Females,15 years,85515
2008,Females,15 years,84337
2009,Females,15 years,83824
2010,Females,15 years,84828
2011,Females,15 years,83353
2012,Females,15 years,79201
2013,Females,15 years,77647
2014,Females,15 years,76454
2015,Females,15 years,77437
2016,Females,15 years,76589
2017,Females,15 years,76449
2018,Females,15 years,76357
2019,Females,15 years,77876
2020,Females,15 years,77818
2021,Females,15 years,77354
1971,Females,16 years,74153
1972,Females,16 years,75028
1973,Females,16 years,76390
1974,Females,16 years,77247
1975,Females,16 years,78587
1976,Females,16 years,80965
1977,Females,16 years,83897
1978,Females,16 years,81993
1979,Females,16 years,82940
1980,Females,16 years,82529
1981,Females,16 years,80094
1982,Females,16 years,74123
1983,Females,16 years,69030
1984,Females,16 years,66897
1985,Females,16 years,66880
1986,Females,16 years,69385
1987,Females,16 years,71153
1988,Females,16 years,66781
1989,Females,16 years,66286
1990,Females,16 years,65730
1991,Females,16 years,67852
1992,Females,16 years,67782
1993,Females,16 years,66634
1994,Females,16 years,66753
1995,Females,16 years,68168
1996,Females,16 years,70358
1997,Females,16 years,71998
1998,Females,16 years,72619
1999,Females,16 years,74834
2000,Females,16 years,76605
2001,Females,16 years,79001
2002,Females,16 years,79869
2003,Females,16 years,79994
2004,Females,16 years,79652
2005,Females,16 years,83354
2006,Females,16 years,86889
2007,Females,16 years,86548
2008,Females,16 years,86561
2009,Females,16 years,85561
2010,Females,16 years,85181
2011,Females,16 years,86047
2012,Females,16 years,83890
2013,Females,16 years,79978
2014,Females,16 years,78724
2015,Females,16 years,77961
2016,Females,16 years,79426
2017,Females,16 years,78409
2018,Females,16 years,78386
2019,Females,16 years,78209
2020,Females,16 years,79357
2021,Females,16 years,78213
1971,Females,17 years,71895
1972,Females,17 years,75130
1973,Females,17 years,75905
1974,Females,17 years,77410
1975,Females,17 years,78138
1976,Females,17 years,79398
1977,Females,17 years,81733
1978,Females,17 years,84498
1979,Females,17 years,82600
1980,Females,17 years,83843
1981,Females,17 years,83162
1982,Females,17 years,81000
1983,Females,17 years,75067
1984,Females,17 years,70083
1985,Females,17 years,67692
1986,Females,17 years,67937
1987,Females,17 years,70580
1988,Females,17 years,72555
1989,Females,17 years,68484
1990,Females,17 years,67859
1991,Females,17 years,67169
1992,Females,17 years,68846
1993,Females,17 years,68410
1994,Females,17 years,67749
1995,Females,17 years,67939
1996,Females,17 years,69295
1997,Females,17 years,71342
1998,Females,17 years,73209
1999,Females,17 years,73865
2000,Females,17 years,76252
2001,Females,17 years,78237
2002,Females,17 years,80428
2003,Females,17 years,80971
2004,Females,17 years,81440
2005,Females,17 years,80941
2006,Females,17 years,84887
2007,Females,17 years,87891
2008,Females,17 years,87692
2009,Females,17 years,87916
2010,Females,17 years,87085
2011,Females,17 years,86795
2012,Females,17 years,86723
2013,Females,17 years,84923
2014,Females,17 years,81208
2015,Females,17 years,80328
2016,Females,17 years,80487
2017,Females,17 years,81856
2018,Females,17 years,81380
2019,Females,17 years,80840
2020,Females,17 years,79982
2021,Females,17 years,79727
1971,Females,18 years,70271
1972,Females,18 years,73017
1973,Females,18 years,76590
1974,Females,18 years,77431
1975,Females,18 years,78835
1976,Females,18 years,79284
1977,Females,18 years,80440
1978,Females,18 years,82765
1979,Females,18 years,85338
1980,Females,18 years,83735
1981,Females,18 years,84697
1982,Females,18 years,84474
1983,Females,18 years,82342
1984,Females,18 years,76261
1985,Females,18 years,71166
1986,Females,18 years,68935
1987,Females,18 years,69442
1988,Females,18 years,72300
1989,Females,18 years,74740
1990,Females,18 years,70353
1991,Females,18 years,69324
1992,Females,18 years,68632
1993,Females,18 years,69946
1994,Females,18 years,69790
1995,Females,18 years,69016
1996,Females,18 years,69027
1997,Females,18 years,70199
1998,Females,18 years,72367
1999,Females,18 years,74243
2000,Females,18 years,75495
2001,Females,18 years,78132
2002,Females,18 years,79790
2003,Females,18 years,81764
2004,Females,18 years,82271
2005,Females,18 years,83041
